2017 Oct 11 16:57:47 [9] INFO  - Dates,Mean Reversion 
2017 Oct 11 16:57:49 [9] INFO  - 1/3/2006 12:00:00 AM,0.00447
2017 Oct 11 16:57:49 [9] INFO  - 1/4/2006 12:00:00 AM,-0.00608
2017 Oct 11 16:57:49 [9] INFO  - 1/5/2006 12:00:00 AM,0.00276
2017 Oct 11 16:57:49 [9] INFO  - 1/6/2006 12:00:00 AM,-0.00203
2017 Oct 11 16:57:49 [9] INFO  - 1/9/2006 12:00:00 AM,-0.00431
2017 Oct 11 16:57:49 [9] INFO  - 1/10/2006 12:00:00 AM,0.00698
2017 Oct 11 16:57:49 [9] INFO  - 1/11/2006 12:00:00 AM,-0.00338
2017 Oct 11 16:57:49 [9] INFO  - 1/12/2006 12:00:00 AM,0.00109
2017 Oct 11 16:57:49 [9] INFO  - 1/13/2006 12:00:00 AM,0.00023
2017 Oct 11 16:57:49 [9] INFO  - 1/17/2006 12:00:00 AM,0.0026
2017 Oct 11 16:57:49 [9] INFO  - 1/18/2006 12:00:00 AM,-0.0003
2017 Oct 11 16:57:49 [9] INFO  - 1/19/2006 12:00:00 AM,-0.00802
2017 Oct 11 16:57:49 [9] INFO  - 1/20/2006 12:00:00 AM,-0.00676
2017 Oct 11 16:57:49 [9] INFO  - 1/23/2006 12:00:00 AM,-0.00202
2017 Oct 11 16:57:49 [9] INFO  - 1/24/2006 12:00:00 AM,0.00154
2017 Oct 11 16:57:49 [9] INFO  - 1/25/2006 12:00:00 AM,0.00044
2017 Oct 11 16:57:49 [9] INFO  - 1/26/2006 12:00:00 AM,0.00201
2017 Oct 11 16:57:49 [9] INFO  - 1/27/2006 12:00:00 AM,-0.00279
2017 Oct 11 16:57:49 [9] INFO  - 1/30/2006 12:00:00 AM,0.0033
2017 Oct 11 16:57:49 [9] INFO  - 1/31/2006 12:00:00 AM,-0.00821
2017 Oct 11 16:57:49 [9] INFO  - 2/1/2006 12:00:00 AM,0.0024
2017 Oct 11 16:57:49 [9] INFO  - 2/2/2006 12:00:00 AM,-0.00164
2017 Oct 11 16:57:49 [9] INFO  - 2/3/2006 12:00:00 AM,-0.00123
2017 Oct 11 16:57:49 [9] INFO  - 2/6/2006 12:00:00 AM,0.00143
2017 Oct 11 16:57:49 [9] INFO  - 2/7/2006 12:00:00 AM,0.00633
2017 Oct 11 16:57:49 [9] INFO  - 2/8/2006 12:00:00 AM,0.00067
2017 Oct 11 16:57:49 [9] INFO  - 2/9/2006 12:00:00 AM,0.00243
2017 Oct 11 16:57:49 [9] INFO  - 2/10/2006 12:00:00 AM,0.00098
2017 Oct 11 16:57:49 [9] INFO  - 2/13/2006 12:00:00 AM,0.00459
2017 Oct 11 16:57:49 [9] INFO  - 2/14/2006 12:00:00 AM,0.00186
2017 Oct 11 16:57:49 [9] INFO  - 2/15/2006 12:00:00 AM,0.00011
2017 Oct 11 16:57:49 [9] INFO  - 2/16/2006 12:00:00 AM,0.00094
2017 Oct 11 16:57:49 [9] INFO  - 2/17/2006 12:00:00 AM,0.00082
2017 Oct 11 16:57:49 [9] INFO  - 2/21/2006 12:00:00 AM,0.00055
2017 Oct 11 16:57:49 [9] INFO  - 2/22/2006 12:00:00 AM,0.00179
2017 Oct 11 16:57:49 [9] INFO  - 2/23/2006 12:00:00 AM,0.00194
2017 Oct 11 16:57:49 [9] INFO  - 2/24/2006 12:00:00 AM,0.00135
2017 Oct 11 16:57:49 [9] INFO  - 2/27/2006 12:00:00 AM,-0.00041
2017 Oct 11 16:57:49 [9] INFO  - 2/28/2006 12:00:00 AM,0.00852
2017 Oct 11 16:57:49 [9] INFO  - 3/1/2006 12:00:00 AM,-0.00497
2017 Oct 11 16:57:49 [9] INFO  - 3/2/2006 12:00:00 AM,-0.00131
2017 Oct 11 16:57:49 [9] INFO  - 3/3/2006 12:00:00 AM,0.00135
2017 Oct 11 16:57:49 [9] INFO  - 3/6/2006 12:00:00 AM,0.00265
2017 Oct 11 16:57:49 [9] INFO  - 3/7/2006 12:00:00 AM,0.00767
2017 Oct 11 16:57:49 [9] INFO  - 3/8/2006 12:00:00 AM,0.00906
2017 Oct 11 16:57:49 [9] INFO  - 3/9/2006 12:00:00 AM,0.00063
2017 Oct 11 16:57:49 [9] INFO  - 3/10/2006 12:00:00 AM,0.00141
2017 Oct 11 16:57:49 [9] INFO  - 3/13/2006 12:00:00 AM,-0.00322
2017 Oct 11 16:57:49 [9] INFO  - 3/14/2006 12:00:00 AM,0.00085
2017 Oct 11 16:57:49 [9] INFO  - 3/15/2006 12:00:00 AM,-0.00035
2017 Oct 11 16:57:49 [9] INFO  - 3/16/2006 12:00:00 AM,-0.00105
2017 Oct 11 16:57:49 [9] INFO  - 3/17/2006 12:00:00 AM,0.0005
2017 Oct 11 16:57:49 [9] INFO  - 3/20/2006 12:00:00 AM,0.00237
2017 Oct 11 16:57:49 [9] INFO  - 3/21/2006 12:00:00 AM,-0.00014
2017 Oct 11 16:57:49 [9] INFO  - 3/22/2006 12:00:00 AM,0.00089
2017 Oct 11 16:57:49 [9] INFO  - 3/23/2006 12:00:00 AM,-0.00257
2017 Oct 11 16:57:49 [9] INFO  - 3/24/2006 12:00:00 AM,0.00076
2017 Oct 11 16:57:49 [9] INFO  - 3/27/2006 12:00:00 AM,-0.00166
2017 Oct 11 16:57:49 [9] INFO  - 3/28/2006 12:00:00 AM,-0.00071
2017 Oct 11 16:57:49 [9] INFO  - 3/29/2006 12:00:00 AM,-0.00316
2017 Oct 11 16:57:49 [9] INFO  - 3/30/2006 12:00:00 AM,-0.00422
2017 Oct 11 16:57:49 [9] INFO  - 3/31/2006 12:00:00 AM,0.00297
2017 Oct 11 16:57:49 [9] INFO  - 4/3/2006 12:00:00 AM,0.00542
2017 Oct 11 16:57:49 [9] INFO  - 4/4/2006 12:00:00 AM,0.00185
2017 Oct 11 16:57:49 [9] INFO  - 4/5/2006 12:00:00 AM,-0.00073
2017 Oct 11 16:57:49 [9] INFO  - 4/6/2006 12:00:00 AM,-0.00673
2017 Oct 11 16:57:49 [9] INFO  - 4/7/2006 12:00:00 AM,-0.0024
2017 Oct 11 16:57:49 [9] INFO  - 4/10/2006 12:00:00 AM,0.00155
2017 Oct 11 16:57:49 [9] INFO  - 4/11/2006 12:00:00 AM,-0.00142
2017 Oct 11 16:57:49 [9] INFO  - 4/12/2006 12:00:00 AM,0.00164
2017 Oct 11 16:57:49 [9] INFO  - 4/13/2006 12:00:00 AM,0.00183
2017 Oct 11 16:57:49 [9] INFO  - 4/17/2006 12:00:00 AM,
2017 Oct 11 16:57:49 [9] INFO  - 4/18/2006 12:00:00 AM,0.00245
2017 Oct 11 16:57:49 [9] INFO  - 4/19/2006 12:00:00 AM,0.00055
2017 Oct 11 16:57:49 [9] INFO  - 4/20/2006 12:00:00 AM,0.00389
2017 Oct 11 16:57:49 [9] INFO  - 4/21/2006 12:00:00 AM,-0.0018
2017 Oct 11 16:57:49 [9] INFO  - 4/24/2006 12:00:00 AM,0.00202
2017 Oct 11 16:57:49 [9] INFO  - 4/25/2006 12:00:00 AM,0.00614
2017 Oct 11 16:57:49 [9] INFO  - 4/26/2006 12:00:00 AM,0.00286
2017 Oct 11 16:57:49 [9] INFO  - 4/27/2006 12:00:00 AM,0.01934
2017 Oct 11 16:57:49 [9] INFO  - 4/28/2006 12:00:00 AM,-0.00561
2017 Oct 11 16:57:49 [9] INFO  - 5/1/2006 12:00:00 AM,
2017 Oct 11 16:57:49 [9] INFO  - 5/2/2006 12:00:00 AM,-0.00485
2017 Oct 11 16:57:49 [9] INFO  - 5/3/2006 12:00:00 AM,0.00055
2017 Oct 11 16:57:49 [9] INFO  - 5/4/2006 12:00:00 AM,0.00204
2017 Oct 11 16:57:49 [9] INFO  - 5/5/2006 12:00:00 AM,0.00028
2017 Oct 11 16:57:49 [9] INFO  - 5/8/2006 12:00:00 AM,0.00032
2017 Oct 11 16:57:49 [9] INFO  - 5/9/2006 12:00:00 AM,0.00165
2017 Oct 11 16:57:49 [9] INFO  - 5/10/2006 12:00:00 AM,0.00023
2017 Oct 11 16:57:49 [9] INFO  - 5/11/2006 12:00:00 AM,-0.00119
2017 Oct 11 16:57:49 [9] INFO  - 5/12/2006 12:00:00 AM,0.00113
2017 Oct 11 16:57:49 [9] INFO  - 5/15/2006 12:00:00 AM,0.00723
2017 Oct 11 16:57:49 [9] INFO  - 5/16/2006 12:00:00 AM,0.00037
2017 Oct 11 16:57:49 [9] INFO  - 5/17/2006 12:00:00 AM,0.00187
2017 Oct 11 16:57:49 [9] INFO  - 5/18/2006 12:00:00 AM,0.00262
2017 Oct 11 16:57:49 [9] INFO  - 5/19/2006 12:00:00 AM,0.0071
2017 Oct 11 16:57:49 [9] INFO  - 5/22/2006 12:00:00 AM,0.00642
2017 Oct 11 16:57:49 [9] INFO  - 5/23/2006 12:00:00 AM,0.00553
2017 Oct 11 16:57:49 [9] INFO  - 5/24/2006 12:00:00 AM,0.00657
2017 Oct 11 16:57:49 [9] INFO  - 5/25/2006 12:00:00 AM,-0.00461
2017 Oct 11 16:57:49 [9] INFO  - 5/26/2006 12:00:00 AM,0.00209
2017 Oct 11 16:57:49 [9] INFO  - 5/30/2006 12:00:00 AM,0.00384
2017 Oct 11 16:57:49 [9] INFO  - 5/31/2006 12:00:00 AM,0.00122
2017 Oct 11 16:57:49 [9] INFO  - 6/1/2006 12:00:00 AM,-0.00231
2017 Oct 11 16:57:49 [9] INFO  - 6/2/2006 12:00:00 AM,0.00018
2017 Oct 11 16:57:49 [9] INFO  - 6/5/2006 12:00:00 AM,0.00297
2017 Oct 11 16:57:49 [9] INFO  - 6/6/2006 12:00:00 AM,0.00332
2017 Oct 11 16:57:49 [9] INFO  - 6/7/2006 12:00:00 AM,-0.0043
2017 Oct 11 16:57:49 [9] INFO  - 6/8/2006 12:00:00 AM,0.00782
2017 Oct 11 16:57:49 [9] INFO  - 6/9/2006 12:00:00 AM,-0.0038
2017 Oct 11 16:57:49 [9] INFO  - 6/12/2006 12:00:00 AM,0.00774
2017 Oct 11 16:57:49 [9] INFO  - 6/13/2006 12:00:00 AM,0.00124
2017 Oct 11 16:57:49 [9] INFO  - 6/14/2006 12:00:00 AM,0.00958
2017 Oct 11 16:57:49 [9] INFO  - 6/15/2006 12:00:00 AM,-0.00227
2017 Oct 11 16:57:49 [9] INFO  - 6/16/2006 12:00:00 AM,-0.00308
2017 Oct 11 16:57:49 [9] INFO  - 6/19/2006 12:00:00 AM,0.00211
2017 Oct 11 16:57:49 [9] INFO  - 6/20/2006 12:00:00 AM,0.00333
2017 Oct 11 16:57:49 [9] INFO  - 6/21/2006 12:00:00 AM,-0.00441
2017 Oct 11 16:57:49 [9] INFO  - 6/22/2006 12:00:00 AM,0.00142
