2017 Oct 11 16:59:17 [10] INFO  - ,,,Production Version,,,No Equity Longs (Method 1),,,No Net Notional Eq Long (Method 2),,
2017 Oct 11 16:59:22 [10] INFO  - ,Date,Reg/Cross,Trend+Counter,Trend,Counter,Trend+Counter,Trend,Counter,Trend+Counter,Trend,Counter
2017 Oct 11 16:59:23 [10] INFO  - ,6/15/2007 12:00:00 AM,0.58%,1.24%,1.42%,-0.18%,0.93%,1.08%,-0.15%,0.99%,1.08%,-0.09%
2017 Oct 11 16:59:23 [10] INFO  - ,6/22/2007 12:00:00 AM,1.02%,0.41%,0.40%,0.02%,0.20%,0.16%,0.05%,0.16%,0.17%,0.01%
2017 Oct 11 16:59:24 [10] INFO  - ,6/29/2007 12:00:00 AM,0.84%,-0.31%,-0.37%,0.07%,-0.36%,-0.42%,0.07%,-0.32%,-0.43%,0.13%
2017 Oct 11 16:59:24 [10] INFO  - ,7/6/2007 12:00:00 AM,1.04%,4.63%,5.17%,-0.55%,4.44%,4.94%,-0.51%,4.49%,4.94%,-0.46%
2017 Oct 11 16:59:24 [10] INFO  - ,7/13/2007 12:00:00 AM,1.19%,-0.66%,-0.74%,0.09%,-0.69%,-0.78%,0.09%,-0.67%,-0.78%,0.11%
2017 Oct 11 16:59:24 [10] INFO  - ,7/20/2007 12:00:00 AM,-0.77%,-0.88%,-1.02%,0.13%,-0.77%,-0.90%,0.13%,-0.78%,-0.90%,0.12%
2017 Oct 11 16:59:25 [10] INFO  - ,7/27/2007 12:00:00 AM,0.00%,-1.91%,-2.33%,0.41%,-1.28%,-1.63%,0.35%,-1.38%,-1.63%,0.25%
2017 Oct 11 16:59:25 [10] INFO  - ,8/3/2007 12:00:00 AM,-0.68%,-0.42%,-0.42%,0.01%,-0.29%,-0.28%,0.01%,-0.28%,-0.30%,0.01%
2017 Oct 11 16:59:25 [10] INFO  - ,8/10/2007 12:00:00 AM,0.87%,-1.44%,-1.14%,-0.32%,-1.47%,-1.06%,-0.42%,-1.30%,-1.05%,-0.27%
2017 Oct 11 16:59:26 [10] INFO  - ,8/17/2007 12:00:00 AM,1.09%,0.61%,-1.38%,2.01%,0.97%,-1.24%,2.25%,0.24%,-1.29%,1.55%
2017 Oct 11 16:59:26 [10] INFO  - ,8/24/2007 12:00:00 AM,2.88%,1.27%,1.26%,0.03%,0.85%,0.97%,-0.09%,1.16%,0.85%,0.30%
