2017 Oct 11 16:59:38 [9] INFO  - |||Production Version|||No Equity Longs (Method 1)|||No Net Notional Eq Long (Method 2)||
2017 Oct 11 16:59:39 [9] INFO  - |Date|Reg/Cross|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter
2017 Oct 11 16:59:40 [9] INFO  - |6/15/2007 12:00:00 AM|0.58%|1.24%|1.42%|-0.18%|0.93%|1.08%|-0.15%|0.99%|1.08%|-0.09%
2017 Oct 11 16:59:40 [9] INFO  - |6/22/2007 12:00:00 AM|1.02%|0.41%|0.40%|0.02%|0.20%|0.16%|0.05%|0.16%|0.17%|0.01%
2017 Oct 11 16:59:41 [9] INFO  - |6/29/2007 12:00:00 AM|0.84%|-0.31%|-0.37%|0.07%|-0.36%|-0.42%|0.07%|-0.32%|-0.43%|0.13%
2017 Oct 11 16:59:41 [9] INFO  - |7/6/2007 12:00:00 AM|1.04%|4.63%|5.17%|-0.55%|4.44%|4.94%|-0.51%|4.49%|4.94%|-0.46%
2017 Oct 11 16:59:42 [9] INFO  - |7/13/2007 12:00:00 AM|1.19%|-0.66%|-0.74%|0.09%|-0.69%|-0.78%|0.09%|-0.67%|-0.78%|0.11%
2017 Oct 11 16:59:42 [9] INFO  - |7/20/2007 12:00:00 AM|-0.77%|-0.88%|-1.02%|0.13%|-0.77%|-0.90%|0.13%|-0.78%|-0.90%|0.12%
2017 Oct 11 16:59:43 [9] INFO  - |7/27/2007 12:00:00 AM|0.00%|-1.91%|-2.33%|0.41%|-1.28%|-1.63%|0.35%|-1.38%|-1.63%|0.25%
2017 Oct 11 16:59:43 [9] INFO  - |8/3/2007 12:00:00 AM|-0.68%|-0.42%|-0.42%|0.01%|-0.29%|-0.28%|0.01%|-0.28%|-0.30%|0.01%
2017 Oct 11 16:59:43 [9] INFO  - |8/10/2007 12:00:00 AM|0.87%|-1.44%|-1.14%|-0.32%|-1.47%|-1.06%|-0.42%|-1.30%|-1.05%|-0.27%
2017 Oct 11 16:59:44 [9] INFO  - |8/17/2007 12:00:00 AM|1.09%|0.61%|-1.38%|2.01%|0.97%|-1.24%|2.25%|0.24%|-1.29%|1.55%
2017 Oct 11 16:59:44 [9] INFO  - |8/24/2007 12:00:00 AM|2.88%|1.27%|1.26%|0.03%|0.85%|0.97%|-0.09%|1.16%|0.85%|0.30%
2017 Oct 11 16:59:44 [9] INFO  - |8/31/2007 12:00:00 AM|0.35%|1.91%|0.64%|1.26%|1.65%|0.47%|1.17%|1.80%|0.31%|1.48%
2017 Oct 11 16:59:44 [9] INFO  - |9/7/2007 12:00:00 AM|1.06%|0.31%|-0.75%|1.07%|0.57%|-0.50%|1.07%|0.37%|-0.80%|1.18%
2017 Oct 11 16:59:44 [9] INFO  - |9/14/2007 12:00:00 AM|1.17%|0.20%|0.57%|-0.34%|-0.03%|0.14%|-0.17%|0.03%|-0.07%|0.10%
2017 Oct 11 16:59:44 [9] INFO  - |9/21/2007 12:00:00 AM|1.24%|1.01%|1.95%|-0.97%|0.51%|1.15%|-0.66%|0.72%|0.92%|-0.22%
2017 Oct 11 16:59:45 [9] INFO  - |9/28/2007 12:00:00 AM|1.93%|0.55%|0.20%|0.34%|0.54%|0.19%|0.35%|0.50%|0.11%|0.37%
2017 Oct 11 16:59:45 [9] INFO  - |10/5/2007 12:00:00 AM|0.76%|-0.61%|0.58%|-1.19%|-0.80%|0.45%|-1.24%|-0.61%|0.58%|-1.19%
2017 Oct 11 16:59:45 [9] INFO  - |10/12/2007 12:00:00 AM|-0.56%|1.93%|2.27%|-0.34%|1.87%|2.20%|-0.33%|1.93%|2.27%|-0.34%
2017 Oct 11 16:59:45 [9] INFO  - |10/19/2007 12:00:00 AM|1.41%|-0.42%|-1.51%|1.09%|-0.38%|-1.47%|1.10%|-0.42%|-1.51%|1.09%
2017 Oct 11 16:59:45 [9] INFO  - |10/26/2007 12:00:00 AM|1.15%|1.84%|2.01%|-0.16%|1.64%|1.80%|-0.15%|1.65%|1.79%|-0.12%
2017 Oct 11 16:59:45 [9] INFO  - |11/2/2007 12:00:00 AM|-0.62%|1.75%|1.90%|-0.13%|1.88%|2.06%|-0.16%|1.88%|2.06%|-0.15%
2017 Oct 11 16:59:45 [9] INFO  - |11/9/2007 12:00:00 AM|0.25%|0.25%|0.17%|0.07%|1.08%|1.07%|0.00%|1.05%|1.07%|-0.03%
